gene_tissue_id,gene_id,label,value,unit,sample,platform
3580,35,Thymus,51.4,"Tags Per Million","  1",FANTOM5
3581,35,"Heart muscle",11.9,"Tags Per Million","  2",FANTOM5
3582,35,"Skeletal muscle",37.6,"Tags Per Million","  2",FANTOM5
3583,35,"Smooth muscle",21.1,"Tags Per Million","  1",FANTOM5
3584,35,Lung,28.8,"Tags Per Million","  2",FANTOM5
3585,35,Liver,10.0,"Tags Per Million","  1",FANTOM5
3586,35,Gallbladder,15.9,"Tags Per Million","  1",FANTOM5
3587,35,Pancreas,20.6,"Tags Per Million","  1",FANTOM5
3588,35,"Salivary gland",16.5,"Tags Per Million","  1",FANTOM5
3589,35,Esophagus,17.4,"Tags Per Million","  1",FANTOM5
3590,35,"Small intestine",19.8,"Tags Per Million","  1",FANTOM5
3591,35,Colon,23.8,"Tags Per Million","  1",FANTOM5
3592,35,Kidney,18.7,"Tags Per Million","  1",FANTOM5
3593,35,"Urinary bladder",21.0,"Tags Per Million","  1",FANTOM5
3594,35,Testis,23.5,"Tags Per Million","  2",FANTOM5
