gene_tissue_id,gene_id,label,value,unit,sample,platform
3232,32,"Thyroid gland",13.4,RPKM,323,GTEx
3233,32,"Adrenal gland",10.3,RPKM,145,GTEx
3234,32,Spleen,11.1,RPKM,104,GTEx
3235,32,"Heart muscle",10.7,RPKM,412,GTEx
3236,32,"Skeletal muscle",10.3,RPKM,430,GTEx
3237,32,Lung,12.3,RPKM,320,GTEx
3238,32,Liver," 3.6",RPKM,119,GTEx
3239,32,Pancreas," 4.8",RPKM,171,GTEx
3240,32,"Salivary gland",10.2,RPKM," 57",GTEx
3241,32,Esophagus,11.9,RPKM,286,GTEx
3242,32,Stomach,10.4,RPKM,193,GTEx
3243,32,"Small intestine",10.7,RPKM," 88",GTEx
3244,32,Colon,13.6,RPKM,345,GTEx
3245,32,Kidney,10.5,RPKM," 32",GTEx
3246,32,"Urinary bladder",16.3,RPKM," 11",GTEx
3247,32,Testis,19.5,RPKM,172,GTEx
3248,32,Prostate,16.0,RPKM,106,GTEx
3249,32,"Fallopian tube",16.2,RPKM,"  6",GTEx
3250,32,Breast,12.9,RPKM,214,GTEx
3251,32,Vagina,13.1,RPKM," 96",GTEx
3252,32,"Cervix, uterine",13.9,RPKM," 11",GTEx
3253,32,Endometrium,16.6,RPKM," 14",GTEx
3254,32,Ovary,13.8,RPKM," 97",GTEx
3255,32,"Adipose tissue",12.3,RPKM,577,GTEx
3256,32,Skin," 9.4",RPKM,607,GTEx
3257,32,Brain,63.2,"Tags Per Million","  1",FANTOM5
3258,32,"Pituitary gland",82.3,"Tags Per Million","  1",FANTOM5
3259,32,Hippocampus,59.7,"Tags Per Million","  2",FANTOM5
3260,32,Caudate,64.2,"Tags Per Million","  1",FANTOM5
3261,32,Cerebellum,69.1,"Tags Per Million","  2",FANTOM5
3262,32,Retina,33.8,"Tags Per Million","  1",FANTOM5
3263,32,"Thyroid gland",24.9,"Tags Per Million","  1",FANTOM5
3264,32,Appendix,33.7,"Tags Per Million","  1",FANTOM5
3265,32,"Lymph node",23.6,"Tags Per Million","  1",FANTOM5
3266,32,Tonsil,23.2,"Tags Per Million","  1",FANTOM5
3267,32,Spleen,23.7,"Tags Per Million","  1",FANTOM5
3268,32,Thymus,31.4,"Tags Per Million","  1",FANTOM5
3269,32,"Heart muscle",34.0,"Tags Per Million","  2",FANTOM5
3270,32,"Skeletal muscle",32.7,"Tags Per Million","  2",FANTOM5
3271,32,"Smooth muscle",36.7,"Tags Per Million","  1",FANTOM5
3272,32,Lung,20.8,"Tags Per Million","  2",FANTOM5
3273,32,Liver,21.7,"Tags Per Million","  1",FANTOM5
3274,32,Gallbladder,18.5,"Tags Per Million","  1",FANTOM5
3275,32,Pancreas,19.7,"Tags Per Million","  1",FANTOM5
3276,32,"Salivary gland",13.1,"Tags Per Million","  1",FANTOM5
3277,32,Esophagus,30.7,"Tags Per Million","  1",FANTOM5
3278,32,"Small intestine",25.5,"Tags Per Million","  1",FANTOM5
3279,32,Colon,27.9,"Tags Per Million","  1",FANTOM5
3280,32,Kidney,37.3,"Tags Per Million","  1",FANTOM5
3281,32,"Urinary bladder",34.1,"Tags Per Million","  1",FANTOM5
3282,32,Testis,25.2,"Tags Per Million","  2",FANTOM5
3283,32,Prostate,29.0,"Tags Per Million","  1",FANTOM5
3284,32,Epididymis,28.8,"Tags Per Million","  1",FANTOM5
3285,32,"Seminal vesicle",26.4,"Tags Per Million","  1",FANTOM5
3286,32,Breast,17.0,"Tags Per Million","  1",FANTOM5
3287,32,Vagina,20.6,"Tags Per Million","  1",FANTOM5
3288,32,"Cervix, uterine",32.0,"Tags Per Million","  1",FANTOM5
3289,32,Endometrium,24.2,"Tags Per Million","  1",FANTOM5
3290,32,Ovary,27.9,"Tags Per Million","  1",FANTOM5
3291,32,Placenta,28.1,"Tags Per Million","  1",FANTOM5
3292,32,"Adipose tissue",18.4,"Tags Per Million","  1",FANTOM5
3293,33,"Cerebral cortex","  8.9",TPM,"  3",HPA
3294,33,"Thyroid gland"," 12.2",TPM,"  5",HPA
3295,33,"Parathyroid gland"," 12.3",TPM,"  1",HPA
3296,33,"Adrenal gland"," 19.9",TPM,"  3",HPA
3297,33,Appendix," 24.4",TPM,"  3",HPA
3298,33,"Bone marrow"," 23.3",TPM,"  4",HPA
3299,33,"Lymph node"," 20.4",TPM,"  5",HPA
3300,33,Tonsil,"  9.0",TPM,"  5",HPA
3301,33,Spleen," 15.1",TPM,"  5",HPA
3302,33,"Heart muscle","  5.3",TPM,"  4",HPA
3303,33,"Skeletal muscle","  1.1",TPM,"  5",HPA
3304,33,"Smooth muscle"," 16.8",TPM,"  3",HPA
3305,33,Lung,130.5,TPM,"  9",HPA
3306,33,Liver,"  3.8",TPM," 10",HPA
3307,33,Gallbladder," 26.1",TPM,"  3",HPA
3308,33,Pancreas,"  1.2",TPM,"  2",HPA
3309,33,"Salivary gland","  4.8",TPM,"  3",HPA
3310,33,Esophagus," 12.0",TPM,"  3",HPA
3311,33,Stomach," 14.0",TPM,"  4",HPA
3312,33,Duodenum,"  6.6",TPM,"  2",HPA
3313,33,"Small intestine","  7.6",TPM,"  4",HPA
3314,33,Colon,"  8.5",TPM," 13",HPA
3315,33,Rectum,"  9.9",TPM,"  4",HPA
3316,33,Kidney," 23.9",TPM,"  9",HPA
3317,33,"Urinary bladder"," 26.3",TPM,"  2",HPA
3318,33,Testis,"  9.3",TPM," 10",HPA
3319,33,Prostate," 12.7",TPM,"  9",HPA
3320,33,Epididymis,"  6.0",TPM,"  1",HPA
3321,33,"Seminal vesicle","  9.5",TPM,"  3",HPA
3322,33,"Fallopian tube"," 14.6",TPM,"  5",HPA
3323,33,Breast," 12.4",TPM,"  4",HPA
3324,33,"Cervix, uterine"," 12.7",TPM,"  2",HPA
3325,33,Endometrium," 16.4",TPM,"  5",HPA
3326,33,Ovary,"  8.8",TPM,"  3",HPA
3327,33,Placenta," 27.0",TPM,"  8",HPA
3328,33,"Adipose tissue"," 16.2",TPM,"  5",HPA
3329,33,Skin," 11.8",TPM,"  3",HPA
3330,33,"Pituitary gland","  3.0",RPKM,103,GTEx
3331,33,Hypothalamus,"  1.1",RPKM," 96",GTEx
3332,33,"Cerebral cortex","  0.8",RPKM,222,GTEx
3333,33,Hippocampus,"  0.9",RPKM," 94",GTEx
3334,33,Caudate,"  1.1",RPKM,117,GTEx
3335,33,Cerebellum,"  0.4",RPKM,230,GTEx
3336,33,"Thyroid gland","  4.9",RPKM,323,GTEx
